player_id,team_id,general_position,minutes_played,shots,shots_on_target,goals,xgoals,xplace,goals_minus_xgoals,key_passes,primary_assists,xassists,primary_assists_minus_xassists,goals_plus_primary_assists,xgoals_plus_xassists,points_added,xpoints_added
0Oq6243Pq6,aDQ0lzvQEv,ST,1278,26,8,3,2.3573,-0.2938,0.6427,15,3,1.1161,1.8839,6,3.4734,1.7547,1.1915
0Oq62D2xq6,4wM4rZdqjB,CM,65,4,0,0,0.8177,-0.8177,-0.8177,2,0,0.1859,-0.1859,0,1.0036,0.0,0.7659
0Oq62ob2q6,4JMAk47qKg,GK,105,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
0Oq632XPQ6,aDQ0lzvQEv,FB,253,4,0,0,0.2499,-0.2499,-0.2499,2,0,0.051,-0.051,0,0.3009,0.0,0.2827
0Oq63dogQ6,"['eV5D2w9QKn', 'eV5DR6YQKn', 'raMyrr25d2']",W,9349,185,56,16,16.3312,-0.5865,-0.3312,101,6,12.1112,-6.1112,22,28.4424,5.5011,9.1633
0Oq63dpzQ6,KPqjw8PQ6v,W,42,3,1,0,0.1748,0.0774,-0.1748,0,0,0.0,0.0,0,0.1748,0.0,0.1327
0Oq63NGdQ6,"['4wM4rZdqjB', 'eV5D2w9QKn']",FB,8971,55,14,3,6.0017,-2.6124,-3.0017,36,5,4.8119,0.1881,8,10.8136,0.6027,3.6287
0Oq6L6BzM6,aDQ0lzvQEv,FB,959,8,1,1,1.5889,-1.1416,-0.5889,5,0,0.2537,-0.2537,1,1.8426,0.1712,0.8066
0Oq6Lbp7M6,"['315VnJ759x', '4wM4rZdqjB']",DM,4103,37,8,3,1.4948,-0.1577,1.5052,48,7,4.719,2.281,10,6.2138,1.2755,0.5444
0Oq6LbXzM6,7VqG1lYMvW,FB,313,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
0Oq6LeZxM6,"['315VnJ759x', '4JMAk47qKg']",CM,2711,46,14,5,3.6941,-1.2472,1.3059,25,2,2.5433,-0.5433,7,6.2374,1.4949,2.0702
0Oq6lgE2M6,"['zeQZeazqKw', 'XVqKeVKM01', '7vQ7BBzqD1']",DM,2633,19,8,2,0.6751,0.5693,1.3249,13,1,1.0102,-0.0102,3,1.6852,1.0616,0.4035
0Oq6LKAxM6,"['kRQa8JOqKZ', '315VnJ759x']",W,2392,36,11,3,4.6903,-1.4807,-1.6903,16,5,2.4819,2.5181,8,7.1722,2.1547,3.0496
0Oq6lL2rM6,"['raMyrr25d2', '7vQ7BBzqD1']",W,9315,90,42,13,9.8651,0.3164,3.1349,162,21,14.8168,6.1832,34,24.682,6.7838,6.5133
0Oq6lLLrM6,eV5D2w9QKn,W,397,2,0,0,0.0657,-0.0657,-0.0657,3,0,0.1368,-0.1368,0,0.2025,0.0,0.0461
0Oq6lLw2M6,XVqKeVKM01,W,172,3,1,0,0.1965,-0.1272,-0.1965,0,0,0.0,0.0,0,0.1965,0.0,0.2855
0Oq6LpwXM6,"['aDQ0lzvQEv', 'raMyrr25d2', 'eV5DR6YQKn']",DM,1894,15,4,1,0.852,0.432,0.148,18,1,1.7123,-0.7123,2,2.5643,0.591,0.6446
0Oq6lRkrM6,eV5D2w9QKn,CM,2426,19,7,1,1.3529,-0.2474,-0.3529,48,7,4.7963,2.2037,8,6.1493,0.9624,1.1457
0Oq6LyL7M6,4wM4rZdqjB,CB,1938,4,0,0,0.1087,-0.1087,-0.1087,9,1,1.0407,-0.0407,1,1.1494,0.0,0.0768
0Oq6w2WgQ6,"['4JMAk47qKg', 'KPqjw8PQ6v']",CB,16063,52,16,5,5.2963,0.5266,-0.2963,15,0,1.1799,-1.1799,5,6.4762,1.4541,2.8933
0Oq6w6D6Q6,"['zeQZeazqKw', 'XVqKeVKM01', '7vQ7BBzqD1']",W,3750,105,46,8,11.9162,-2.6752,-3.9162,29,5,4.1026,0.8974,13,16.0188,3.3165,6.4642
0Oq6w6JgQ6,7VqG1lYMvW,CB,6852,3,0,0,0.0543,-0.0543,-0.0543,20,0,2.0167,-2.0167,0,2.0711,0.0,0.0458
0Oq6wa1gQ6,7vQ7BBzqD1,CM,1217,21,9,1,1.1114,0.9584,-0.1114,9,1,1.0235,-0.0235,2,2.1348,0.0,0.4953
0Oq6waLAQ6,4wM4Ezg5jB,GK,873,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
0Oq6waLXQ6,4wM4Ezg5jB,W,1531,8,4,1,0.9817,0.3167,0.0183,19,2,2.3927,-0.3927,3,3.3744,0.6865,0.703
0Oq6waZ2Q6,"['raMyrr25d2', 'zeQZeazqKw']",FB,404,2,1,1,0.1815,0.5478,0.8185,0,0,0.0,0.0,1,0.1815,0.1253,0.0325
0Oq6wbb2Q6,"['7vQ7BBzqD1', '7VqG1lYMvW']",FB,13067,80,21,6,6.7327,-0.6893,-0.7327,46,1,3.5855,-2.5855,7,10.3182,4.0925,4.9371
0Oq6wGnrQ6,"['aDQ0lzvQEv', 'kRQa8JOqKZ', '4JMAk47qKg', '7vQ7BBzqD1']",CB,10891,58,13,4,3.8519,-0.7174,0.1481,24,1,1.3582,-0.3582,5,5.2102,3.5356,3.3292
0Oq6wlg7Q6,"['315VnJ759x', '4JMAk47qKg', 'aDQ0lzvQEv', 'raMyrr25d2']",FB,16904,74,14,1,2.5301,-1.2209,-1.5301,189,8,14.0424,-6.0424,9,16.5725,0.5796,1.7262
0Oq6wlgrQ6,"['zeQZeazqKw', 'raMyrr25d2', 'xW5pwDBMg1', '7vQ7BBzqD1', 'aDQ0lzvQEv']",FB,8538,99,30,7,7.3705,0.0985,-0.3705,76,7,8.5234,-1.5234,14,15.8939,1.1401,4.263
0Oq6wVydQ6,raMyrr25d2,FB,1241,2,0,0,0.0456,-0.0456,-0.0456,8,0,0.3561,-0.3561,0,0.4018,0.0,0.0425
0Oq6wZexQ6,"['4JMAk47qKg', 'raMyrr25d2', 'eV5DR6YQKn', 'Pk5LeeNqOW']",W,6987,158,56,9,12.6702,-0.5706,-3.6702,101,8,10.0139,-2.0139,17,22.6841,3.3295,6.7643
0x5g23JrM7,KPqjw8PQ6v,ST,801,14,7,1,2.3753,-1.1768,-1.3753,6,0,0.6863,-0.6863,1,3.0616,0.3082,1.2248
0x5g23X7M7,Pk5LeeNqOW,FB,72,1,1,0,0.0636,0.0277,-0.0636,1,0,0.0658,-0.0658,0,0.1294,0.0,0.061
0x5g26b7M7,raMyrr25d2,FB,1085,2,0,0,0.0583,-0.0583,-0.0583,7,0,0.6948,-0.6948,0,0.7531,0.0,0.0478
0x5g2EBPM7,KPqjw8PQ6v,W,19,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0
