game_id,period_id,expanded_minute,game_minute,team_id,shooter_player_id,assist_player_id,shot_location_x,shot_location_y,shot_end_location_x,shot_end_location_y,distance_from_goal,distance_from_goal_yds,blocked,blocked_x,blocked_y,goal,own_goal,home_score,away_score,shot_xg,shot_psxg,head,assist_through_ball,assist_cross,pattern_of_play,shot_order
2vQ1Bk88Mr,1,13,12,7vQ7BBzqD1,0Oq6w6D6Q6,0,88.2,49.7,100.0,50.5,11.8038,13.5721,0,0.0,0.0,1,0,0,0,0.3051,0.1087,0,0,0,Regular,6
a35rLV9bQL,1,1,0,raMyrr25d2,eVq3j0y65W,Vj58B42DQ8,54.4,47.8,98.4,50.4,45.653,52.4695,0,98.4,50.4,0,0,0,0,0.0227,0.0192,0,0,0,Regular,6
N6MmRv9x5E,1,1,0,7vQ7BBzqD1,2lqRRjmaqr,0,74.5,54.5,86.4,57.0,25.894,29.5451,0,86.4,57.0,0,0,0,0,0.0361,0.0,0,0,0,Regular,8
vzqokvgNqa,1,1,0,7vQ7BBzqD1,kRQa2wDkMK,kRQa264bMK,89.5,47.6,98.8,50.7,10.7708,12.2267,0,98.8,50.7,0,0,0,0,0.0827,0.1286,1,0,1,Regular,10
BLMvGRYW5x,1,1,0,XVqKeVKM01,315VX0vYQ9,0,81.1,64.0,100.0,60.3,23.5204,24.451,0,0.0,0.0,0,0,0,0,0.0613,0.0,0,0,0,Regular,10
zeQZzlrKQK,1,3,2,7vQ7BBzqD1,NPqxxjmkq9,0,88.5,50.0,100.0,52.4,11.5,12.0,0,0.0,0.0,1,0,0,0,0.7598,0.7708,0,0,0,Penalty,10
gpMOGV2OMz,1,1,0,aDQ0lzvQEv,0x5gPJvRq7,0Oq6wlg7Q6,92.6,64.9,95.4,60.3,16.6364,14.646,0,95.4,60.3,0,0,0,0,0.1691,0.5704,0,0,0,Regular,11
eVq3Xl9nQW,1,1,0,4JMAk47qKg,4wM42JdNqj,vzqo79YBqa,91.5,67.6,100.0,55.3,19.5451,17.1405,0,0.0,0.0,0,0,0,0,0.0697,0.0,0,0,0,Regular,11
aDQ0EDXvME,1,1,0,4wM4Ezg5jB,Oa5wYddXQ1,odMXRX7WqY,79.7,67.9,82.7,66.2,27.0647,27.3871,1,82.7,66.2,0,0,0,0,0.0254,0.0,0,0,0,Regular,11
4JMAOnW7qK,1,1,0,KPqjw8PQ6v,kRQa264bMK,gOMnR6AAMw,77.2,68.4,100.0,40.8,29.2985,30.0694,0,0.0,0.0,0,0,0,0,0.0279,0.0,0,0,0,Regular,11
N6MmLzOvQE,1,1,0,4wM4Ezg5jB,odMXRX7WqY,0,72.8,38.2,100.0,72.3,29.6493,32.6734,0,0.0,0.0,0,0,0,0,0.0172,0.0,0,0,0,Regular,11
2vQ1Bk88Mr,1,17,16,7VqG1lYMvW,4wM4Je2gqj,0x5gPW2Rq7,81.2,73.4,100.0,57.1,30.0167,28.5983,0,0.0,0.0,0,0,0,1,0.0326,0.0,0,0,0,Regular,11
KAqBmwm75b,1,1,0,zeQZeazqKw,2lqRRddLqr,0,74.7,65.1,96.9,51.6,29.4635,31.5031,0,96.9,51.6,0,0,0,0,0.032,0.0261,0,0,0,Regular,12
